Title,Link
Addressing failures in exascale computing,https://journals.sagepub.com/doi/abs/10.1177/1094342014522573
Explore: An Advanced Computing Agenda for Competitiveness,https://www.osti.gov/biblio/1542432
Revolutionizing science and engineering through cyberinfrastructure,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=841a9bb02faa96203b5058252640b260a5538e3e
"2003 Report on Indiana University Accomplishments supported by Shared University Research Grants from IBM, Inc.",https://scholarworks.iu.edu/dspace/handle/2022/2186
[CITATION][C] The Massachusetts Green High Performance Computing Center,Link not found
[BOOK][B] Revolutionizing science and engineering through cyberinfrastructure: Report of the National Science Foundation blue-ribbon advisory panel on …,"https://books.google.com/books?hl=en&lr=&id=TWNQAAAAMAAJ&oi=fnd&pg=PA1&dq=This+work+was+supported+in+part+through+the+NYU+IT+High+Performance+Computing+resources,+services,+and+staff+expertise&ots=aS5s5PEKw9&sig=JYv3bLIeAwlvPX0IVcdLVQHVPuc"
Supporting digital scholarship in research libraries: Scalability and sustainability,https://www.tandfonline.com/doi/abs/10.1080/01930826.2013.756689
Creating a data science framework: A model for academic research libraries,https://www.tandfonline.com/doi/abs/10.1080/01930826.2021.1883366
Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study,https://www.bmj.com/content/369/bmj.m1966.abstract
[BOOK][B] Unlocking public value: A new model for achieving high performance in public service organizations,"https://books.google.com/books?hl=en&lr=&id=F2rWEAAAQBAJ&oi=fnd&pg=PR9&dq=This+work+was+supported+in+part+through+the+NYU+IT+High+Performance+Computing+resources,+services,+and+staff+expertise&ots=xUq2W9fFyS&sig=DhV1pf-LhIajq9P1OkWsMpOgLZc"
[BOOK][B] The 2010 Horizon Report.,https://eric.ed.gov/?id=ED510220
Model-free measurement of local entropy production and extractable work in active matter,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.129.220601
High-performance single-cell gene regulatory network inference at scale: the Inferelator 3.0,https://academic.oup.com/bioinformatics/article-abstract/38/9/2519/6533443
Researcher-library collaborations: Data repositories as a service for researchers,https://www.iastatedigitalpress.com/jlsc/article/id/12755/
Constraining effective field theories with machine learning,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.121.111801
Abc: A big cad model dataset for geometric deep learning,http://openaccess.thecvf.com/content_CVPR_2019/html/Koch_ABC_A_Big_CAD_Model_Dataset_for_Geometric_Deep_Learning_CVPR_2019_paper.html
ASCR@ 40: Highlights and Impacts of ASCR's Programs,https://www.osti.gov/biblio/1631812
Fast Generation of Spectrally-Shaped Disorder for Optical Metamaterials,https://meetings.aps.org/Meeting/MAR24/Session/S60.9
Mining gold from implicit models to improve likelihood-free inference,https://www.pnas.org/doi/abs/10.1073/pnas.1915980117
Likelihood-free inference with an improved cross-entropy estimator,https://arxiv.org/abs/1808.00973
The Paradyn parallel performance measurement tool,https://ieeexplore.ieee.org/abstract/document/471178/
The student staffing advantage: Data science consulting service at NC State University libraries,https://onlinelibrary.wiley.com/doi/abs/10.1002/sta4.702
"An employment systems approach to turnover: Human resources practices, quits, dismissals, and performance",https://journals.aom.org/doi/abs/10.5465/amj.2011.64869448
Parallel processor programs in the federal government,https://www.computer.org/csdl/api/v1/periodical/mags/co/1985/06/01662922/13rRUytF446/download-article/pdf
Improving cloud gaming experience through mobile edge computing,https://ieeexplore.ieee.org/abstract/document/8685768/
The steep cost of capture,https://dl.acm.org/doi/abs/10.1145/3488666
Maps & GIS data libraries in the era of big data and cloud computing,https://www.tandfonline.com/doi/abs/10.1080/15420353.2014.893944
[PDF][PDF] The humanities computing center and library collaboration in new scholarly communication processes,http://archive.nyu.edu/bitstream/2451/27730/4/Vinopal_Advances_post-print.pdf
